id_empleado,nombre,apellido,género,provincia,ciudad,fecha_contratacion,departamento,puesto_trabajo,nivel_educacion,salario,calificacion_desempeno,horas_extra,fecha_nacimiento,fecha_terminacion
00-67953319,Efraín,Escalona,Mujer,Managua,Tipitapa,2021-11-14,Atención al Cliente,Especialista de Soporte,Secundaria,54816,Bueno,Sí,2002-04-05,
00-46586490,Heriberto,Campo,Hombre,Managua,Tipitapa,2018-06-26,Operaciones,Analista de Operaciones,Maestría,72201,Satisfactorio,No,1988-08-20,
00-23190487,Conrado,Antón,Mujer,Managua,Tipitapa,2017-07-27,TI,Desarrollador de Software,Licenciatura,89694,Bueno,No,1980-11-04,
00-71888947,Piedad,Pont,Mujer,Managua,Tipitapa,2023-08-28,Marketing,Especialista en SEO,Licenciatura,61200,Satisfactorio,No,1965-05-25,
00-89017236,Begoña,Jaén,Hombre,Estelí,Condega,2023-01-18,Operaciones,Coordinador de Logística,Licenciatura,64373,Bueno,No,1975-06-11,
00-34148004,Ismael,Belda,Hombre,Rivas,Rivas,2018-01-05,Operaciones,Coordinador de Logística,Licenciatura,64498,Satisfactorio,Sí,1994-02-27,
00-11137651,África,Gallardo,Mujer,Managua,Tipitapa,2023-08-27,Ventas,Representante de Ventas,Licenciatura,76719,Bueno,No,1980-05-24,
00-23112905,Íngrid,Bernal,Hombre,Managua,Ciudad Sandino,2020-06-19,Marketing,Creador de Contenido,Licenciatura,69957,Necesita Mejora,Sí,2003-10-26,
00-57179735,Feliciana,Barrera,Hombre,Matagalpa,San Ramón,2017-05-12,Operaciones,Gerente de Operaciones,Maestría,82960,Bueno,No,2003-11-22,
00-35914696,Mar,Ricart,Mujer,Rivas,Rivas,2015-10-27,Operaciones,Coordinador de Logística,Licenciatura,55292,Satisfactorio,No,1979-06-24,
00-17634560,Narcisa,Barragán,Mujer,Managua,Tipitapa,2024-10-27,Atención al Cliente,Representante de Atención al Cliente,Secundaria,53662,Bueno,No,1990-12-31,
00-39101720,Juan Pablo,Ángel,Mujer,Managua,Ciudad Sandino,2024-01-15,Marketing,Coordinador de Marketing,Licenciatura,58486,Bueno,No,2001-12-12,
00-26103055,Calisto,Mateu,Mujer,Managua,Ciudad Sandino,2016-01-29,Ventas,Representante de Ventas,Licenciatura,59985,Bueno,No,1981-06-30,
00-60460287,Inocencio,Vives,Mujer,Managua,Tipitapa,2022-02-05,Operaciones,Coordinador de Logística,Licenciatura,66417,Excelente,Sí,1979-08-21,
00-34799223,Luciana,Guardia,Hombre,Managua,Ciudad Sandino,2023-07-13,Ventas,Consultor de Ventas,Maestría,72721,Satisfactorio,No,1994-04-01,
00-44002147,Goyo,Ferrando,Mujer,León,La Paz Centro,2017-07-11,Ventas,Consultor de Ventas,Doctorado,90267,Bueno,No,1965-10-04,
00-95735668,Jose Ramón,Escamilla,Mujer,Managua,Managua,2019-07-23,Operaciones,Analista de Operaciones,Licenciatura,79837,Satisfactorio,No,1972-03-21,
00-67308741,Celestina,Ribes,Hombre,Rivas,San Juan del Sur,2022-09-29,Ventas,Representante de Ventas,Licenciatura,82596,Satisfactorio,No,1989-07-27,
00-53406567,María Dolores,Palma,Mujer,Managua,Ciudad Sandino,2017-09-03,Atención al Cliente,Técnico de Mesa de Ayuda,Licenciatura,80711,Bueno,No,1961-10-23,
00-18373492,Julia,Roldán,Hombre,Managua,Tipitapa,2018-11-18,Atención al Cliente,Representante de Atención al Cliente,Secundaria,63395,Satisfactorio,No,1985-01-04,
00-44660198,Flavio,Escribano,Mujer,Rivas,Rivas,2024-07-19,Atención al Cliente,Especialista de Soporte,Secundaria,60418,Bueno,No,1970-11-14,
00-69132953,Anna,Nebot,Mujer,Managua,Ciudad Sandino,2016-08-27,Finanzas,Analista Financiero,Licenciatura,76090,Bueno,No,1971-11-12,
00-62698503,Bibiana,Salazar,Mujer,Managua,Ciudad Sandino,2017-12-06,Atención al Cliente,Representante de Atención al Cliente,Secundaria,62813,Bueno,Sí,1987-04-29,
00-29310253,Vanesa,Miró,Mujer,Managua,Managua,2020-07-19,Operaciones,Gerente de Operaciones,Maestría,112930,Satisfactorio,Sí,1962-12-17,
00-92405160,Moreno,Peral,Mujer,Managua,Managua,2021-05-31,Operaciones,Coordinador de Logística,Licenciatura,57685,Satisfactorio,No,2004-01-06,
00-44761889,Evita,Ros,Mujer,Managua,Ciudad Sandino,2016-10-28,TI,Especialista de Soporte TI,Secundaria,56368,Bueno,Sí,1980-10-06,
00-86684568,Moisés,Hernandez,Mujer,Managua,Managua,2022-07-24,Marketing,Coordinador de Marketing,Licenciatura,57414,Excelente,No,1989-05-26,
00-76800348,Iker,Perez,Mujer,Managua,Managua,2017-10-06,Ventas,Consultor de Ventas,Licenciatura,81959,Bueno,No,1974-04-09,
00-15078212,Ángeles,Izquierdo,Mujer,Managua,Tipitapa,2022-05-12,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,79954,Bueno,No,1985-07-03,
00-54269149,Víctor,Salvà,Hombre,Managua,Ciudad Sandino,2023-12-16,Finanzas,Contador,Licenciatura,81899,Satisfactorio,No,1984-12-15,
00-79173535,Aarón,Aramburu,Hombre,Managua,Managua,2022-12-24,Ventas,Consultor de Ventas,Maestría,78524,Bueno,Sí,1996-12-18,
00-68526669,Débora,Alegre,Hombre,Estelí,Pueblo Nuevo,2019-07-08,Ventas,Especialista de Ventas,Doctorado,73007,Necesita Mejora,Sí,1976-11-07,
00-19408620,Tania,Matas,Hombre,Managua,Ciudad Sandino,2020-01-03,TI,Especialista de Soporte TI,Secundaria,56301,Bueno,No,2004-01-30,
00-74701849,Iván,Garmendia,Hombre,Managua,Managua,2016-11-08,Operaciones,Especialista en Inventario,Secundaria,60500,Bueno,No,2001-02-02,
00-54753520,Alfredo,Llorente,Hombre,Matagalpa,Matiguás,2022-12-01,Operaciones,Coordinador de Logística,Licenciatura,62245,Satisfactorio,No,1970-02-05,
00-94862181,Ariadna,Cortes,Mujer,Rivas,San Juan del Sur,2024-02-04,Operaciones,Coordinador de Logística,Licenciatura,56966,Bueno,No,1998-11-26,
00-59037166,Édgar,Pagès,Hombre,Managua,Tipitapa,2020-02-26,TI,Desarrollador de Software,Licenciatura,106863,Bueno,No,1976-04-30,
00-71691749,Juan Manuel,Pedraza,Mujer,Managua,Managua,2022-11-20,Ventas,Especialista de Ventas,Maestría,65978,Bueno,No,1980-10-30,
00-37262368,Josep,Guijarro,Hombre,Managua,Tipitapa,2017-04-04,Atención al Cliente,Representante de Atención al Cliente,Secundaria,55036,Bueno,No,2000-01-19,
00-98682228,Marcelo,Briones,Mujer,Managua,Tipitapa,2017-07-27,Finanzas,Especialista en Cuentas por Pagar,Licenciatura,55117,Bueno,No,2003-04-23,
00-24330160,Cloe,Gelabert,Mujer,Chinandega,Corinto,2021-09-25,Operaciones,Coordinador de Logística,Licenciatura,62386,Necesita Mejora,No,1985-06-20,
00-21390049,Loreto,Morata,Hombre,Managua,Tipitapa,2023-10-16,Operaciones,Coordinador de Logística,Licenciatura,68503,Bueno,No,1980-05-07,
00-35429494,Fulgencio,Torrents,Mujer,Managua,Tipitapa,2017-10-28,RRHH,Coordinador de RRHH,Maestría,69034,Bueno,No,1977-11-29,
00-89583788,Jenny,Bustos,Mujer,Rivas,Rivas,2017-08-05,Ventas,Representante de Ventas,Licenciatura,54726,Satisfactorio,Sí,1988-10-21,
00-82551667,Marcelo,Arcos,Hombre,Granada,Nandaime,2021-09-24,Operaciones,Coordinador de Logística,Licenciatura,66040,Necesita Mejora,No,1975-07-27,
00-70305001,Corona,Pizarro,Hombre,Managua,Ciudad Sandino,2024-01-29,Finanzas,Especialista en Cuentas por Pagar,Licenciatura,69711,Bueno,No,2002-12-03,
00-55538076,Basilio,Múñiz,Hombre,Rivas,San Jorge,2016-05-06,Atención al Cliente,Representante de Atención al Cliente,Secundaria,60428,Excelente,Sí,1964-01-07,
00-64426343,Olga,Rovira,Hombre,Managua,Managua,2016-06-01,Finanzas,Analista Financiero,Licenciatura,93529,Bueno,Sí,2002-02-26,
00-80211929,Rufina,Carreño,Mujer,Estelí,Condega,2019-11-13,Operaciones,Especialista en Inventario,Secundaria,64907,Bueno,No,1974-05-02,
00-82016051,Javi,Alberdi,Mujer,Managua,Ciudad Sandino,2017-08-19,Atención al Cliente,Técnico de Mesa de Ayuda,Licenciatura,91193,Satisfactorio,No,1960-12-11,
00-19668169,Evelia,Piñeiro,Hombre,Estelí,Condega,2015-01-20,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,76666,Satisfactorio,No,1996-07-07,
00-97755782,Azucena,Armengol,Mujer,Managua,Ciudad Sandino,2015-04-27,Ventas,Consultor de Ventas,Doctorado,100792,Bueno,No,1962-08-09,
00-42572300,Clara,Conde,Hombre,Managua,Tipitapa,2022-04-29,Operaciones,Especialista en Inventario,Licenciatura,71780,Satisfactorio,No,1960-05-27,
00-33118870,José,Giner,Mujer,Rivas,Rivas,2021-02-25,Ventas,Especialista de Ventas,Maestría,85856,Necesita Mejora,No,1993-07-29,
00-23058343,Ignacia,Pozo,Hombre,Managua,Managua,2019-12-20,Ventas,Consultor de Ventas,Doctorado,89430,Satisfactorio,No,1974-05-20,
00-89328380,Marina,Vargas,Mujer,Rivas,San Jorge,2016-02-02,Finanzas,Analista Financiero,Maestría,71029,Satisfactorio,No,1991-04-21,
00-76725470,Toni,Manjón,Mujer,Managua,Tipitapa,2020-10-14,Operaciones,Especialista en Inventario,Licenciatura,55229,Excelente,No,1991-03-15,
00-18470495,Eusebio,Catalán,Mujer,Granada,Granada,2023-05-03,Ventas,Representante de Ventas,Licenciatura,71006,Bueno,No,1963-05-25,
00-63956682,Alba,Avilés,Hombre,Managua,Ciudad Sandino,2018-07-19,Operaciones,Especialista en Inventario,Secundaria,64375,Bueno,No,1996-10-29,
00-83267417,Juan Francisco,Blázquez,Hombre,Managua,Tipitapa,2017-05-26,Operaciones,Analista de Operaciones,Maestría,59997,Bueno,Sí,1984-09-25,
00-16118522,Toño,Castrillo,Hombre,Managua,Managua,2020-10-05,TI,Especialista de Soporte TI,Licenciatura,61809,Bueno,No,1979-11-12,
00-26206185,Alicia,Figuerola,Hombre,Managua,Ciudad Sandino,2017-06-27,Atención al Cliente,Representante de Atención al Cliente,Secundaria,56397,Bueno,No,1990-04-21,
00-59650807,Florinda,Ferrández,Hombre,Managua,Ciudad Sandino,2020-07-23,Ventas,Representante de Ventas,Licenciatura,62952,Bueno,No,1979-09-01,
00-88112812,Magdalena,Zamora,Mujer,Managua,Tipitapa,2015-03-31,TI,Administrador de Sistemas,Maestría,76074,Bueno,No,1975-08-27,
00-94851724,Calixto,Larrea,Hombre,Managua,Ciudad Sandino,2021-10-10,Finanzas,Analista Financiero,Licenciatura,111607,Bueno,Sí,1974-04-28,
00-75359668,Moisés,Borrás,Hombre,Managua,Tipitapa,2016-02-11,TI,Especialista de Soporte TI,Secundaria,58473,Necesita Mejora,No,1996-02-09,
00-21964334,Severiano,Roda,Mujer,Managua,Managua,2022-05-13,Operaciones,Coordinador de Logística,Licenciatura,55448,Satisfactorio,Sí,1991-07-02,
00-65864403,Graciano,Montes,Hombre,Rivas,Rivas,2022-05-06,RRHH,Coordinador de RRHH,Maestría,63078,Excelente,No,1996-01-22,
00-27031212,Gabriela,Amador,Mujer,Managua,Ciudad Sandino,2017-10-08,Atención al Cliente,Especialista de Soporte,Licenciatura,58327,Excelente,Sí,1961-10-13,
00-80207530,Fortunato,Olmo,Hombre,Matagalpa,Matagalpa,2019-08-13,Marketing,Especialista en SEO,Secundaria,82395,Bueno,Sí,1988-03-03,
00-91945021,Nieves,Salamanca,Mujer,Masaya,Masaya,2022-08-15,Ventas,Especialista de Ventas,Doctorado,68455,Excelente,No,1969-07-29,
00-77093782,Valero,Arribas,Mujer,Managua,Tipitapa,2021-12-03,Operaciones,Coordinador de Logística,Licenciatura,61041,Satisfactorio,No,1983-03-24,
00-50426348,Joaquín,Flores,Hombre,León,La Paz Centro,2018-09-07,Ventas,Especialista de Ventas,Doctorado,61370,Bueno,No,1972-07-24,
00-41626932,Fabricio,Boada,Mujer,Rivas,San Jorge,2017-02-10,Ventas,Representante de Ventas,Licenciatura,68072,Satisfactorio,No,2001-11-10,
00-93070162,Baltasar,Herrero,Hombre,Managua,Managua,2018-12-12,Marketing,Especialista en SEO,Licenciatura,71209,Bueno,Sí,1971-05-02,
00-39430744,Ángeles,Coloma,Hombre,Managua,Ciudad Sandino,2019-11-13,Ventas,Especialista de Ventas,Licenciatura,80687,Bueno,No,1970-06-18,
00-37931877,Oriana,Maestre,Mujer,Managua,Tipitapa,2017-01-05,Operaciones,Coordinador de Logística,Licenciatura,60522,Necesita Mejora,Sí,1981-06-13,
00-30027622,Joaquina,Cantero,Hombre,Managua,Tipitapa,2022-04-22,TI,Desarrollador de Software,Licenciatura,104861,Satisfactorio,No,2004-03-17,
00-33665782,Adriana,Alsina,Mujer,Managua,Tipitapa,2017-05-01,Operaciones,Coordinador de Logística,Licenciatura,53317,Satisfactorio,No,2001-07-16,
00-96551756,Manola,Galán,Hombre,Managua,Managua,2018-03-16,Operaciones,Coordinador de Logística,Licenciatura,60014,Excelente,No,1976-11-15,
00-43739891,Azeneth,Jordán,Hombre,Managua,Managua,2018-07-19,Finanzas,Contador,Licenciatura,85303,Satisfactorio,Sí,2003-10-25,
00-24015162,Esther,Cid,Hombre,Managua,Tipitapa,2022-09-11,TI,Desarrollador de Software,Licenciatura,102667,Bueno,No,1979-04-08,
00-31212522,Guiomar,Alfaro,Mujer,Granada,Granada,2023-05-18,Ventas,Especialista de Ventas,Maestría,71400,Bueno,No,2003-02-11,
00-25577992,Vicenta,Zurita,Hombre,Managua,Tipitapa,2016-01-16,Operaciones,Coordinador de Logística,Licenciatura,60556,Bueno,Sí,1979-08-14,
00-69702849,Francisco,Barrena,Mujer,Managua,Managua,2020-04-13,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,64710,Satisfactorio,No,1974-07-04,
00-36675960,Montserrat,Linares,Mujer,Managua,Ciudad Sandino,2022-01-20,Operaciones,Coordinador de Logística,Licenciatura,61890,Satisfactorio,No,1988-02-29,
00-24781783,Fátima,Aguirre,Hombre,Managua,Tipitapa,2018-01-25,Atención al Cliente,Especialista de Soporte,Secundaria,56062,Excelente,No,1972-05-25,
00-65377624,Gertrudis,Linares,Hombre,Managua,Tipitapa,2023-08-30,Finanzas,Contador,Licenciatura,90151,Bueno,No,1975-02-25,
00-19868991,Ximena,Palomino,Mujer,Managua,Tipitapa,2019-11-11,Ventas,Especialista de Ventas,Maestría,79269,Bueno,No,1970-03-15,
00-68500818,Alejo,Marco,Hombre,Managua,Ciudad Sandino,2017-11-12,Ventas,Especialista de Ventas,Doctorado,83941,Bueno,No,1989-06-29,
00-33898911,Florencia,Pomares,Mujer,Managua,Managua,2018-03-26,Atención al Cliente,Técnico de Mesa de Ayuda,Secundaria,79954,Bueno,No,1980-01-29,
00-36059032,Ricardo,Verdugo,Mujer,Managua,Managua,2021-12-22,Marketing,Especialista en SEO,Secundaria,61933,Bueno,No,1981-04-14,
00-55082572,Conrado,Moles,Mujer,Managua,Managua,2016-06-25,Ventas,Representante de Ventas,Licenciatura,66461,Satisfactorio,No,2000-05-26,
00-18006318,Edelmira,Borja,Mujer,Chinandega,Corinto,2017-03-09,Operaciones,Especialista en Inventario,Secundaria,56785,Bueno,No,2000-03-16,
00-72482955,Angelita,Seco,Hombre,Rivas,San Juan del Sur,2019-07-24,Operaciones,Especialista en Inventario,Licenciatura,62196,Satisfactorio,No,1987-02-28,
00-56113991,Leticia,Almeida,Hombre,Managua,Tipitapa,2017-01-15,Atención al Cliente,Especialista de Soporte,Licenciatura,61075,Bueno,No,2000-01-04,
00-31043745,Ágata,Ávila,Mujer,Managua,Managua,2023-04-21,Ventas,Representante de Ventas,Licenciatura,64885,Satisfactorio,Sí,1960-07-27,
00-32808354,Amelia,Pozuelo,Mujer,Managua,Ciudad Sandino,2020-09-28,Finanzas,Especialista en Cuentas por Pagar,Licenciatura,55336,Necesita Mejora,No,1983-06-17,
00-40830120,Alejandro,Oliver,Mujer,Estelí,Estelí,2016-09-06,Finanzas,Especialista en Cuentas por Pagar,Licenciatura,65827,Bueno,No,1962-07-23,
00-39050434,Pedro,Mate,Hombre,Managua,Ciudad Sandino,2020-03-27,Atención al Cliente,Especialista de Soporte,Licenciatura,61692,Excelente,Sí,1982-10-19,
00-11946674,Angélica,Llorens,Mujer,Managua,Managua,2022-10-23,Marketing,Coordinador de Marketing,Licenciatura,53801,Satisfactorio,No,1980-08-01,
00-43105363,Eufemia,Jiménez,Hombre,Managua,Managua,2017-11-16,TI,Desarrollador de Software,Licenciatura,88790,Satisfactorio,Sí,1986-10-10,
00-39850909,Tania,Andreu,Hombre,Chinandega,El Realejo,2023-12-10,Operaciones,Especialista en Inventario,Licenciatura,64503,Bueno,No,2002-12-29,
00-87000815,Lino,Gomis,Hombre,Managua,Ciudad Sandino,2023-02-25,Ventas,Representante de Ventas,Licenciatura,68141,Bueno,No,1986-10-08,
00-15376584,Teófila,Pozo,Mujer,Managua,Tipitapa,2024-08-27,TI,Administrador de Sistemas,Licenciatura,67967,Bueno,No,1992-07-12,
00-77674770,Chucho,Piña,Hombre,Rivas,San Jorge,2015-07-09,TI,Especialista de Soporte TI,Licenciatura,63434,Bueno,Sí,1989-11-23,
00-74326441,Irene,Gordillo,Mujer,Estelí,Pueblo Nuevo,2023-06-01,Ventas,Consultor de Ventas,Doctorado,102671,Bueno,No,1973-11-06,
00-23153230,Constanza,Corominas,Hombre,Matagalpa,Matiguás,2019-06-05,Operaciones,Coordinador de Logística,Licenciatura,68433,Bueno,No,1992-05-13,
00-84958851,Mateo,Mur,Hombre,Granada,Granada,2022-06-13,Operaciones,Coordinador de Logística,Licenciatura,68381,Bueno,No,1997-06-17,
00-64575354,Eleuterio,Gabaldón,Mujer,Matagalpa,Matagalpa,2024-08-26,Operaciones,Coordinador de Logística,Licenciatura,56320,Satisfactorio,No,1988-03-28,
00-49700319,Custodia,Francisco,Hombre,León,La Paz Centro,2017-11-10,Operaciones,Analista de Operaciones,Licenciatura,64479,Satisfactorio,Sí,1985-04-12,
00-74395377,Martin,Zabaleta,Mujer,León,La Paz Centro,2022-11-28,Operaciones,Analista de Operaciones,Licenciatura,81847,Excelente,Sí,2003-04-10,
00-71643898,Tito,Codina,Hombre,Estelí,Estelí,2023-08-27,Operaciones,Analista de Operaciones,Licenciatura,90020,Satisfactorio,No,1977-10-02,
00-13276720,Clara,Cruz,Hombre,Rivas,Rivas,2024-04-25,Marketing,Coordinador de Marketing,Licenciatura,72089,Bueno,No,1995-12-06,
00-28605786,Cecilia,Carrasco,Hombre,Managua,Managua,2023-03-09,TI,Desarrollador de Software,Licenciatura,84299,Satisfactorio,Sí,1993-08-29,
00-59716992,Primitiva,Coello,Mujer,Matagalpa,San Ramón,2021-09-22,TI,Especialista de Soporte TI,Licenciatura,60695,Satisfactorio,No,1971-05-10,
00-10183025,María Del Carmen,Montalbán,Hombre,Managua,Ciudad Sandino,2023-11-17,Operaciones,Coordinador de Logística,Licenciatura,65693,Excelente,Sí,1982-08-07,
00-54681905,Severiano,Reina,Hombre,Rivas,San Juan del Sur,2020-04-20,Operaciones,Coordinador de Logística,Licenciatura,65548,Bueno,No,1995-11-21,
00-46210517,Marcia,Llanos,Mujer,Managua,Ciudad Sandino,2022-02-25,Operaciones,Especialista en Inventario,Secundaria,57499,Bueno,No,1975-01-13,
00-87205978,Godofredo,Campillo,Hombre,Rivas,Rivas,2023-02-17,Operaciones,Especialista en Inventario,Licenciatura,60085,Satisfactorio,No,2000-02-13,
00-93276088,Amancio,Lasa,Hombre,Managua,Managua,2023-08-09,Operaciones,Coordinador de Logística,Licenciatura,69363,Bueno,Sí,1998-06-24,
00-79086760,Emperatriz,Gual,Mujer,Estelí,Estelí,2024-08-05,Atención al Cliente,Especialista de Soporte,Secundaria,62333,Satisfactorio,Sí,1992-10-07,
00-16920612,Jerónimo,Amo,Hombre,Granada,Granada,2016-05-11,TI,Desarrollador de Software,Licenciatura,91706,Bueno,No,1989-05-14,
00-93098685,Javiera,Tapia,Mujer,Managua,Tipitapa,2015-02-18,Ventas,Consultor de Ventas,Doctorado,96394,Bueno,No,1989-10-07,
00-96996261,Raquel,Somoza,Mujer,Managua,Tipitapa,2020-09-16,Atención al Cliente,Representante de Atención al Cliente,Secundaria,56954,Bueno,No,1973-09-23,
00-37476059,Raúl,Espejo,Hombre,Managua,Tipitapa,2017-11-07,Operaciones,Coordinador de Logística,Licenciatura,65202,Bueno,No,1986-07-02,
00-82428426,Amparo,Sáez,Hombre,Matagalpa,San Ramón,2016-02-20,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,61531,Satisfactorio,Sí,2004-07-04,
00-87862305,Guadalupe,Gonzalo,Mujer,Estelí,Condega,2023-01-12,TI,Desarrollador de Software,Licenciatura,99538,Excelente,No,1970-12-28,
00-40257672,María Cristina,Alcolea,Hombre,Managua,Tipitapa,2018-12-03,Ventas,Representante de Ventas,Licenciatura,74263,Bueno,No,2003-05-27,
00-66764586,Seve,Girón,Hombre,Managua,Managua,2017-09-28,Operaciones,Analista de Operaciones,Licenciatura,76847,Bueno,No,1979-03-06,
00-56335527,Hermenegildo,Fuente,Hombre,Managua,Managua,2019-01-25,Atención al Cliente,Especialista de Soporte,Secundaria,60463,Bueno,No,1974-01-25,
00-26469781,Áurea,Saavedra,Hombre,Managua,Tipitapa,2019-11-12,Finanzas,Analista Financiero,Maestría,69718,Bueno,No,1991-05-06,
00-81518649,Amelia,Morcillo,Hombre,Managua,Tipitapa,2023-11-12,TI,Especialista de Soporte TI,Secundaria,63909,Excelente,No,1973-04-03,
00-59411699,Susana,Huerta,Mujer,Managua,Tipitapa,2023-06-05,Ventas,Gerente de Ventas,Doctorado,98597,Bueno,No,1969-06-11,
00-18808386,Maura,Arnaiz,Hombre,Rivas,Rivas,2017-08-10,Ventas,Representante de Ventas,Licenciatura,63605,Excelente,No,1974-12-16,
00-20760289,Paloma,Pintor,Hombre,Managua,Tipitapa,2019-09-20,Operaciones,Coordinador de Logística,Licenciatura,74645,Bueno,No,1975-02-21,
00-20327693,Rufino,Zapata,Mujer,Managua,Tipitapa,2016-08-22,Ventas,Consultor de Ventas,Doctorado,97713,Satisfactorio,No,1982-03-23,
00-29858055,Julie,Arenas,Mujer,Estelí,Condega,2020-07-09,Finanzas,Analista Financiero,Maestría,87287,Bueno,No,1987-10-06,
00-94191586,Vito,Saura,Hombre,Managua,Tipitapa,2015-10-29,Atención al Cliente,Representante de Atención al Cliente,Licenciatura,74726,Bueno,No,1980-08-10,
00-82670169,Aristides,Hoyos,Hombre,Estelí,Condega,2024-07-08,Marketing,Coordinador de Marketing,Licenciatura,66772,Bueno,No,1979-07-19,
00-66388890,Ruy,Ariza,Mujer,Chinandega,Chinandega,2019-07-23,Atención al Cliente,Gerente de Atención al Cliente,Maestría,91367,Excelente,Sí,1981-05-20,
00-49126722,Ascensión,Avilés,Hombre,Managua,Tipitapa,2017-03-11,Ventas,Especialista de Ventas,Doctorado,59233,Bueno,No,1974-03-01,
00-41182544,Valerio,Puig,Hombre,Estelí,Condega,2023-11-18,TI,Desarrollador de Software,Licenciatura,94754,Bueno,No,1966-10-16,
00-55080697,María Ángeles,Macias,Mujer,Managua,Tipitapa,2019-06-17,Ventas,Representante de Ventas,Licenciatura,65038,Bueno,No,1984-08-03,
00-96711527,Telmo,Mariscal,Hombre,Managua,Managua,2023-08-12,Operaciones,Analista de Operaciones,Licenciatura,71845,Satisfactorio,No,1996-01-12,
00-99369591,Baltasar,Villanueva,Hombre,Rivas,Rivas,2022-11-25,TI,Administrador de Sistemas,Licenciatura,88102,Bueno,No,2001-12-17,
00-71472671,Abigaíl,Sans,Mujer,Managua,Tipitapa,2018-02-02,RRHH,Coordinador de RRHH,Maestría,60232,Excelente,No,1984-12-31,
00-51137063,Angelita,Carbajo,Hombre,Managua,Tipitapa,2017-03-07,TI,Desarrollador de Software,Maestría,88535,Satisfactorio,No,1972-10-11,
00-74994010,Delfina,Cerdá,Mujer,Managua,Ciudad Sandino,2018-05-24,Operaciones,Coordinador de Logística,Licenciatura,61189,Bueno,No,1988-04-06,
00-16351040,Moisés,Sanmartín,Mujer,Rivas,Rivas,2017-01-10,Ventas,Consultor de Ventas,Licenciatura,73370,Bueno,No,1987-11-17,
00-32328873,Wilfredo,Franch,Mujer,Rivas,Rivas,2021-11-18,Marketing,Coordinador de Marketing,Licenciatura,69676,Necesita Mejora,No,1999-09-21,
00-81848989,Cipriano,Ibáñez,Hombre,Managua,Tipitapa,2017-04-28,Ventas,Representante de Ventas,Licenciatura,78603,Satisfactorio,Sí,1975-12-15,
00-99436783,Florencia,Céspedes,Hombre,Matagalpa,San Ramón,2023-09-19,Ventas,Representante de Ventas,Licenciatura,60733,Necesita Mejora,No,1985-05-17,
00-25692379,Duilio,Bou,Mujer,Estelí,Condega,2015-02-11,TI,Especialista de Soporte TI,Secundaria,59232,Necesita Mejora,Sí,1975-11-20,
00-26974987,Vinicio,Parejo,Mujer,Managua,Managua,2019-02-01,TI,Especialista de Soporte TI,Secundaria,57922,Bueno,No,1963-07-07,
00-37535486,Laura,Plana,Hombre,Managua,Tipitapa,2020-09-22,Finanzas,Especialista en Cuentas por Pagar,Licenciatura,68868,Bueno,Sí,1980-11-22,
00-52539471,Ariadna,Cuesta,Hombre,Rivas,Rivas,2024-05-18,TI,Desarrollador de Software,Licenciatura,110589,Satisfactorio,Sí,2003-06-28,
00-70187134,Ricardo,Arranz,Mujer,Managua,Managua,2020-10-07,Atención al Cliente,Técnico de Mesa de Ayuda,Licenciatura,56064,Satisfactorio,No,2004-06-16,
00-50474667,Ximena,Naranjo,Mujer,Managua,Ciudad Sandino,2016-07-25,Operaciones,Especialista en Inventario,Secundaria,56083,Satisfactorio,Sí,1975-05-28,
00-77030603,Georgina,Conesa,Mujer,Rivas,San Juan del Sur,2022-03-01,Operaciones,Coordinador de Logística,Licenciatura,62538,Satisfactorio,Sí,1966-10-18,
00-30945115,Espiridión,Escamilla,Hombre,Managua,Managua,2015-10-07,Ventas,Especialista de Ventas,Licenciatura,79638,Satisfactorio,No,1971-06-21,
00-78103287,Aurelio,Rivas,Mujer,Masaya,Nindirí,2018-04-23,Operaciones,Coordinador de Logística,Licenciatura,55596,Bueno,No,1988-02-08,
00-73607213,Luna,Salmerón,Hombre,Managua,Managua,2023-04-16,Ventas,Representante de Ventas,Licenciatura,60287,Satisfactorio,No,1978-11-03,
00-29741209,Gerardo,Carpio,Mujer,Rivas,Rivas,2023-11-24,Operaciones,Especialista en Inventario,Licenciatura,62585,Satisfactorio,Sí,1980-07-01,
00-55457454,Hermenegildo,Acevedo,Hombre,Granada,Granada,2022-08-15,Operaciones,Especialista en Inventario,Secundaria,58012,Excelente,No,1980-02-17,
00-15379569,José Luis,Alberola,Hombre,Managua,Tipitapa,2017-06-16,Ventas,Consultor de Ventas,Licenciatura,101762,Satisfactorio,Sí,1999-02-18,
00-51350093,Rita,Valenzuela,Mujer,Managua,Managua,2015-07-17,Operaciones,Especialista en Inventario,Licenciatura,65366,Bueno,No,1980-09-23,
00-39576862,Adelardo,Uriarte,Mujer,Rivas,San Juan del Sur,2019-03-28,Marketing,Creador de Contenido,Secundaria,58645,Bueno,Sí,1984-04-03,
00-17386489,Dionisia,Tamarit,Hombre,Managua,Tipitapa,2021-06-15,Atención al Cliente,Representante de Atención al Cliente,Secundaria,61006,Bueno,No,1971-05-25,
00-80656754,Vasco,Bernad,Mujer,Estelí,Condega,2017-08-07,Ventas,Especialista de Ventas,Doctorado,81011,Bueno,No,1978-05-26,
